Pressure (bar),Flow (L/min),Flow (mL/s)
0.6353,0.0,0.0
0.6156,0.0,0.0
0.6353,0.0,0.0
0.6274,0.0,0.0
0.6274,0.0,0.0
0.6392,0.0,0.0
0.6392,0.0,0.0
0.6254,0.0,0.0
0.6392,0.0,0.0
0.6373,0.0,0.0
0.6373,0.0,0.0
0.6215,0.0,0.0
0.6274,0.0,0.0
0.6294,0.0,0.0
0.6412,0.0,0.0
0.6353,0.0,0.0
0.6333,0.0,0.0
0.6333,0.0,0.0
0.6254,0.0,0.0
0.6215,0.0,0.0
0.6353,0.0,0.0
0.6294,0.0,0.0
0.6314,0.0,0.0
0.6215,0.0,0.0
0.6254,0.0,0.0
0.6412,0.0,0.0
0.6373,0.0,0.0
0.6314,0.0,0.0
0.6195,0.0,0.0
0.6254,0.0,0.0
0.6353,0.0,0.0
0.6333,0.0,0.0
0.6373,0.0,0.0
0.6077,0.0,0.0
0.6314,0.0,0.0
0.6294,0.0,0.0
0.6254,0.0,0.0
0.6333,0.0,0.0
0.6254,0.0,0.0
0.6274,0.0,0.0
0.6392,0.0,0.0
0.6136,0.0,0.0
0.6392,0.0,0.0
0.6314,0.0,0.0
0.6314,0.0,0.0
0.6294,0.0,0.0
0.6294,0.0,0.0
0.6195,0.0,0.0
0.6314,0.0,0.0
0.6392,0.0,0.0
0.6116,0.0,0.0
0.5978,0.0,0.0
0.6392,0.0,0.0
0.6373,0.0,0.0
0.6353,0.0,0.0
0.6333,0.0,0.0
0.6254,0.0,0.0
0.6412,0.0,0.0
0.6175,0.0,0.0
0.6333,0.0,0.0
0.6215,0.0,0.0
0.6314,0.0,0.0
0.6373,0.0,0.0
0.6353,0.0,0.0
0.6294,0.0,0.0
0.6373,0.0,0.0
0.6274,0.0,0.0
0.6294,0.0,0.0
0.6432,0.0,0.0
0.6215,0.0,0.0
0.6274,0.0,0.0
0.6392,0.0,0.0
0.6195,0.0,0.0
0.6294,0.0,0.0
0.6215,0.0,0.0
0.6353,0.0,0.0
0.6531,0.0,0.0
0.6392,0.0,0.0
0.6353,0.0,0.0
0.6373,0.0,0.0
0.6333,0.0,0.0
0.6333,0.0,0.0
0.6412,0.0,0.0
0.6353,0.0,0.0
0.6333,0.0,0.0
0.6274,0.0,0.0
0.6511,0.0,0.0
0.6373,0.0,0.0
0.6294,0.0,0.0
0.6294,0.0,0.0
0.6412,0.0,0.0
0.6452,0.0,0.0
0.6353,0.0,0.0
0.6215,0.0,0.0
0.6353,0.0,0.0
0.6353,0.0,0.0
0.6373,0.0,0.0
0.6333,0.0,0.0
0.6373,0.0,0.0
0.6294,0.0,0.0
0.6235,0.0,0.0
0.6392,0.0,0.0
0.6274,0.0,0.0
0.6353,0.0,0.0
0.6432,0.0,0.0
0.6175,0.0,0.0
0.6333,0.0,0.0
0.6314,0.0,0.0
0.6333,0.0,0.0
0.6254,0.0,0.0
0.6215,0.0,0.0
0.6294,0.0,0.0
0.6294,0.0,0.0
0.6254,0.0,0.0
0.6294,0.0,0.0
0.6274,0.0,0.0
0.6235,0.0,0.0
0.6333,0.0,0.0
0.6511,0.0,0.0
0.6392,0.0,0.0
0.6333,0.0,0.0
0.6314,0.0,0.0
0.6294,0.0,0.0
0.6254,0.0,0.0
0.6274,0.0,0.0
0.6215,0.0,0.0
0.6294,0.0,0.0
0.6294,0.0,0.0
0.6392,0.0,0.0
0.6333,0.0,0.0
0.6294,0.0,0.0
0.6432,0.0,0.0
0.6333,0.0,0.0
0.6373,0.0,0.0
0.6353,0.0,0.0
0.6452,0.0,0.0
0.6353,0.0,0.0
0.6353,0.0,0.0
0.6195,0.0,0.0
0.6333,0.0,0.0
0.6392,0.0,0.0
0.6274,0.0,0.0
0.6392,0.0,0.0
0.6274,0.0,0.0
0.6392,0.0,0.0
0.6294,0.0,0.0
0.6274,0.0,0.0
0.6373,0.0,0.0
0.6254,0.0,0.0
0.6215,0.0,0.0
0.6314,0.0,0.0
0.6254,0.0,0.0
0.6452,0.0,0.0
0.6175,0.0,0.0
0.6767,0.0,0.0
0.6353,0.0,0.0
0.6037,0.0,0.0
0.6274,0.0,0.0
0.6392,0.0,0.0
0.6787,0.0,0.0
0.6294,0.0,0.0
0.6373,0.0,0.0
0.6096,0.0,0.0
0.6373,0.0,0.0
0.6373,0.0,0.0
0.6432,0.0,0.0
0.6215,0.0,0.0
0.6116,0.0,0.0
0.6314,0.0,0.0
0.6096,0.0,0.0
0.657,0.0,0.0
0.8642,0.0,0.0
2.0069,0.0,0.0
2.2358,0.0,0.0
2.222,0.0,0.0
2.5536,0.0,0.0
2.8871,0.0,0.0
3.116,0.0,0.0
3.3726,0.0,0.0
3.6015,0.0,0.0
3.8166,0.0,0.0
3.9844,0.0,0.0
4.1719,0.0,0.0
4.3357,0.0,0.0
4.5113,0.0,0.0
4.6238,0.0,0.0
4.7699,0.0,0.0
4.8922,0.0,0.0
4.9791,0.0,0.0
5.0462,0.6601,1.1001
5.1271,0.6601,1.1001
5.1646,0.6601,1.1001
5.2198,0.6601,1.1001
5.2297,0.6601,1.1001
5.2396,0.6601,1.1001
5.2632,0.6601,1.1001
5.2771,0.6601,1.1001
5.281,0.6601,1.1001
5.281,0.6601,1.1001
5.3047,0.6601,1.1001
5.279,0.6601,1.1001
5.2869,0.6601,1.1001
5.279,0.6601,1.1001
5.3027,0.6601,1.1001
5.281,0.6601,1.1001
5.3106,0.6601,1.1001
5.2948,0.6601,1.1001
5.2869,0.6601,1.1001
5.281,0.6601,1.1001
5.285,0.6601,1.1001
5.3007,0.6601,1.1001
5.2948,0.6601,1.1001
5.285,0.6601,1.1001
5.285,0.6601,1.1001
5.3126,0.6601,1.1001
5.2869,0.6601,1.1001
5.2988,0.6601,1.1001
5.3067,0.6601,1.1001
5.3007,0.6601,1.1001
5.3086,0.6601,1.1001
5.2948,0.6601,1.1001
5.2948,0.6601,1.1001
5.3027,0.6601,1.1001
5.2988,0.6601,1.1001
5.2948,0.6601,1.1001
5.3067,0.6601,1.1001
5.3067,0.6601,1.1001
5.3047,0.6601,1.1001
5.3086,0.6601,1.1001
5.3106,0.6601,1.1001
5.3126,0.6601,1.1001
5.3067,0.6601,1.1001
5.3106,0.6601,1.1001
5.3027,0.6601,1.1001
5.3185,0.6601,1.1001
5.3106,0.6601,1.1001
5.2928,0.6601,1.1001
5.3185,0.6601,1.1001
5.3185,0.6601,1.1001
5.3007,0.6601,1.1001
5.3146,0.6601,1.1001
5.3205,0.6601,1.1001
5.3126,0.6601,1.1001
5.3224,0.6601,1.1001
5.3264,0.6601,1.1001
5.3126,0.6601,1.1001
5.3224,0.6601,1.1001
5.3106,0.6601,1.1001
5.3106,0.6601,1.1001
5.3244,0.6601,1.1001
5.3106,0.6601,1.1001
5.3264,0.6601,1.1001
5.3343,0.6601,1.1001
5.3106,0.6601,1.1001
5.3323,0.6601,1.1001
5.3461,0.6601,1.1001
5.3126,0.6601,1.1001
5.3244,0.6601,1.1001
5.3106,0.6601,1.1001
5.3303,0.6601,1.1001
5.3224,0.6601,1.1001
5.3224,0.6601,1.1001
5.3244,0.6601,1.1001
5.3185,0.6601,1.1001
5.3323,0.6601,1.1001
5.3185,0.6601,1.1001
5.3185,0.6601,1.1001
5.3165,0.6601,1.1001
5.3323,0.6601,1.1001
5.3146,0.6601,1.1001
5.3264,0.6601,1.1001
5.3126,0.6601,1.1001
5.3264,0.6601,1.1001
5.3264,0.6601,1.1001
5.3323,0.6601,1.1001
5.3126,0.6601,1.1001
5.3224,0.6601,1.1001
5.3382,0.6601,1.1001
5.3264,0.6601,1.1001
5.3422,0.6601,1.1001
5.3126,0.6601,1.1001
5.3343,0.6601,1.1001
5.3382,0.6601,1.1001
5.3422,0.6601,1.1001
5.3343,0.6601,1.1001
5.3343,0.6601,1.1001
5.3284,0.6601,1.1001
5.3264,0.6601,1.1001
5.3303,0.6601,1.1001
5.3146,0.6601,1.1001
5.3224,3.9604,6.6007
5.3264,3.9604,6.6007
5.3402,3.9604,6.6007
5.3323,3.9604,6.6007
5.3343,3.9604,6.6007
5.3244,3.9604,6.6007
5.3303,3.9604,6.6007
5.3442,3.9604,6.6007
5.3264,3.9604,6.6007
5.3442,3.9604,6.6007
5.3343,3.9604,6.6007
5.3303,3.9604,6.6007
5.3442,3.9604,6.6007
5.3244,3.9604,6.6007
5.3382,3.9604,6.6007
5.3343,3.9604,6.6007
5.3422,3.9604,6.6007
5.3343,3.9604,6.6007
5.3244,3.9604,6.6007
5.3442,3.9604,6.6007
5.3244,3.9604,6.6007
5.3382,3.9604,6.6007
5.3323,3.9604,6.6007
5.3303,3.9604,6.6007
5.3264,3.9604,6.6007
5.3146,3.9604,6.6007
5.3343,3.9604,6.6007
5.3106,3.9604,6.6007
5.3363,3.9604,6.6007
5.3303,3.9604,6.6007
5.3224,3.9604,6.6007
5.3303,3.9604,6.6007
5.3422,3.9604,6.6007
5.3422,3.9604,6.6007
5.3264,3.9604,6.6007
5.3323,3.9604,6.6007
5.3165,3.9604,6.6007
5.3224,3.9604,6.6007
5.3343,3.9604,6.6007
5.3382,3.9604,6.6007
5.3205,3.9604,6.6007
5.3442,3.9604,6.6007
5.3382,3.9604,6.6007
5.3363,3.9604,6.6007
5.3442,3.9604,6.6007
5.3343,3.9604,6.6007
5.3402,3.9604,6.6007
5.3442,3.9604,6.6007
5.3244,3.9604,6.6007
5.3402,3.9604,6.6007
5.3264,3.9604,6.6007
5.3382,3.9604,6.6007
5.3382,3.9604,6.6007
5.3264,3.9604,6.6007
5.3461,3.9604,6.6007
5.3303,3.9604,6.6007
5.3264,3.9604,6.6007
5.3185,3.9604,6.6007
5.3481,3.9604,6.6007
5.3402,3.9604,6.6007
5.3461,3.9604,6.6007
5.3244,3.9604,6.6007
5.3244,3.9604,6.6007
5.3382,3.9604,6.6007
5.3442,3.9604,6.6007
5.3442,3.9604,6.6007
5.3442,3.9604,6.6007
5.3244,3.9604,6.6007
5.3264,3.9604,6.6007
5.3481,3.9604,6.6007
5.3264,3.9604,6.6007
5.3343,3.9604,6.6007
5.3442,3.9604,6.6007
5.3264,3.9604,6.6007
5.3422,3.9604,6.6007
5.3323,3.9604,6.6007
5.3343,3.9604,6.6007
5.3422,3.9604,6.6007
5.3402,3.9604,6.6007
5.3264,3.9604,6.6007
5.3323,3.9604,6.6007
5.3284,3.9604,6.6007
5.3343,3.9604,6.6007
5.3303,3.9604,6.6007
5.3244,3.9604,6.6007
5.3382,3.9604,6.6007
5.3422,3.9604,6.6007
5.3402,3.9604,6.6007
5.3343,3.9604,6.6007
5.3402,3.9604,6.6007
5.3244,3.9604,6.6007
5.3402,3.9604,6.6007
5.3442,3.9604,6.6007
5.3343,3.9604,6.6007
5.3461,3.9604,6.6007
5.3442,3.9604,6.6007
5.3442,3.9604,6.6007
5.3382,3.9604,6.6007
5.3402,3.9604,6.6007
5.3501,3.9604,6.6007
5.3343,3.9604,6.6007
5.3382,2.2442,3.7404
5.3343,2.2442,3.7404
5.3303,2.2442,3.7404
5.3303,2.2442,3.7404
5.3224,2.2442,3.7404
5.3442,2.2442,3.7404
5.3343,2.2442,3.7404
5.3303,2.2442,3.7404
5.3205,2.2442,3.7404
5.3323,2.2442,3.7404
5.3343,2.2442,3.7404
5.3323,2.2442,3.7404
5.3323,2.2442,3.7404
5.3382,2.2442,3.7404
5.3402,2.2442,3.7404
5.3422,2.2442,3.7404
5.3422,2.2442,3.7404
5.3382,2.2442,3.7404
5.354,2.2442,3.7404
5.3363,2.2442,3.7404
5.3422,2.2442,3.7404
5.3264,2.2442,3.7404
5.3481,2.2442,3.7404
5.3185,2.2442,3.7404
5.3442,2.2442,3.7404
5.3402,2.2442,3.7404
5.3382,2.2442,3.7404
5.3303,2.2442,3.7404
5.3402,2.2442,3.7404
5.3442,2.2442,3.7404
5.3343,2.2442,3.7404
5.3382,2.2442,3.7404
5.3224,2.2442,3.7404
5.3323,2.2442,3.7404
5.3363,2.2442,3.7404
5.3442,2.2442,3.7404
5.3402,2.2442,3.7404
5.3402,2.2442,3.7404
5.3442,2.2442,3.7404
5.3402,2.2442,3.7404
5.3422,2.2442,3.7404
5.3382,2.2442,3.7404
5.3442,2.2442,3.7404
5.3343,2.2442,3.7404
5.3343,2.2442,3.7404
5.3244,2.2442,3.7404
5.3442,2.2442,3.7404
5.3422,2.2442,3.7404
5.3481,2.2442,3.7404
5.3422,2.2442,3.7404
5.3442,2.2442,3.7404
5.3382,2.2442,3.7404
5.3422,2.2442,3.7404
5.3422,2.2442,3.7404
5.3382,2.2442,3.7404
5.3422,2.2442,3.7404
5.3323,2.2442,3.7404
5.3442,2.2442,3.7404
5.3442,2.2442,3.7404
5.3442,2.2442,3.7404
5.3343,2.2442,3.7404
5.3382,2.2442,3.7404
4.7383,2.2442,3.7404
4.7107,2.2442,3.7404
4.6041,2.2442,3.7404
4.4975,2.2442,3.7404
4.4284,2.2442,3.7404
4.3653,2.2442,3.7404
4.3159,2.2442,3.7404
4.3081,2.2442,3.7404
4.385,2.2442,3.7404
4.4797,2.2442,3.7404
4.5626,2.2442,3.7404
4.6574,2.2442,3.7404
4.7481,2.2442,3.7404
4.8666,2.2442,3.7404
4.9356,2.2442,3.7404
5.0264,2.2442,3.7404
5.0975,2.2442,3.7404
5.1586,2.2442,3.7404
5.21,2.2442,3.7404
5.2356,2.2442,3.7404
5.2553,2.2442,3.7404
5.279,2.2442,3.7404
5.2869,2.2442,3.7404
5.283,2.2442,3.7404
5.3165,2.2442,3.7404
5.3185,2.2442,3.7404
5.3126,2.2442,3.7404
5.3205,2.2442,3.7404
5.3224,2.2442,3.7404
5.3264,2.2442,3.7404
5.3323,2.2442,3.7404
5.3224,2.2442,3.7404
5.3382,2.2442,3.7404
5.3264,2.2442,3.7404
5.3422,2.2442,3.7404
5.3343,2.2442,3.7404
5.3422,2.2442,3.7404
5.3363,2.2442,3.7404
5.3461,2.2442,3.7404
5.3185,1.0561,1.7602
5.3442,1.0561,1.7602
5.3343,1.0561,1.7602
5.3402,1.0561,1.7602
5.3442,1.0561,1.7602
5.3422,1.0561,1.7602
5.3442,1.0561,1.7602
5.3343,1.0561,1.7602
5.3442,1.0561,1.7602
5.3323,1.0561,1.7602
5.3402,1.0561,1.7602
5.3165,1.0561,1.7602
5.3442,1.0561,1.7602
5.3244,1.0561,1.7602
5.3382,1.0561,1.7602
5.3442,1.0561,1.7602
5.3442,1.0561,1.7602
5.3303,1.0561,1.7602
5.358,1.0561,1.7602
5.3442,1.0561,1.7602
5.3442,1.0561,1.7602
5.3323,1.0561,1.7602
5.3244,1.0561,1.7602
5.3382,1.0561,1.7602
5.3382,1.0561,1.7602
5.3442,1.0561,1.7602
5.3461,1.0561,1.7602
5.3974,1.0561,1.7602
5.283,1.0561,1.7602
5.3284,1.0561,1.7602
5.3067,1.0561,1.7602
5.3224,1.0561,1.7602
5.4073,1.0561,1.7602
5.3343,1.0561,1.7602
5.3678,1.0561,1.7602
5.3422,1.0561,1.7602
5.3185,1.0561,1.7602
5.4053,1.0561,1.7602
5.2988,1.0561,1.7602
5.3067,1.0561,1.7602
5.3244,1.0561,1.7602
5.3323,1.0561,1.7602
5.3205,1.0561,1.7602
5.3323,1.0561,1.7602
5.4014,1.0561,1.7602
5.2514,1.0561,1.7602
5.3146,1.0561,1.7602
5.3481,1.0561,1.7602
5.3422,1.0561,1.7602
5.3659,1.0561,1.7602
5.3343,1.0561,1.7602
5.3442,1.0561,1.7602
5.3442,1.0561,1.7602
5.3442,1.0561,1.7602
5.2948,1.0561,1.7602
5.3244,1.0561,1.7602
5.3382,1.0561,1.7602
5.3224,1.0561,1.7602
5.3205,1.0561,1.7602
5.3343,1.0561,1.7602
5.3442,1.0561,1.7602
5.2909,1.0561,1.7602
5.3047,1.0561,1.7602
5.3323,1.0561,1.7602
5.3264,1.0561,1.7602
5.3244,1.0561,1.7602
5.3146,1.0561,1.7602
5.3382,1.0561,1.7602
5.3402,1.0561,1.7602
5.3106,1.0561,1.7602
5.3323,1.0561,1.7602
5.3422,1.0561,1.7602
5.3244,1.0561,1.7602
5.3718,1.0561,1.7602
5.3224,1.0561,1.7602
5.3777,1.0561,1.7602
5.3895,1.0561,1.7602
5.3146,1.0561,1.7602
5.3224,1.0561,1.7602
5.3303,1.0561,1.7602
5.3382,1.0561,1.7602
5.2909,1.0561,1.7602
5.3007,1.0561,1.7602
5.3718,1.0561,1.7602
5.3442,1.0561,1.7602
5.3303,1.0561,1.7602
5.3442,1.0561,1.7602
5.3146,1.0561,1.7602
5.3402,1.0561,1.7602
5.3264,1.0561,1.7602
5.3442,1.0561,1.7602
5.3382,1.0561,1.7602
5.3264,1.0561,1.7602
5.3264,1.0561,1.7602
5.3303,1.0561,1.7602
5.3442,1.0561,1.7602
5.3343,1.0561,1.7602
5.3461,1.0561,1.7602
5.3323,1.0561,1.7602
5.3363,1.0561,1.7602
5.3343,1.0561,1.7602
5.3481,0.7921,1.3201
5.3264,0.7921,1.3201
5.3343,0.7921,1.3201
5.3264,0.7921,1.3201
5.3422,0.7921,1.3201
5.3442,0.7921,1.3201
5.3323,0.7921,1.3201
5.3382,0.7921,1.3201
5.3343,0.7921,1.3201
5.3303,0.7921,1.3201
5.3303,0.7921,1.3201
5.3461,0.7921,1.3201
5.3244,0.7921,1.3201
5.3303,0.7921,1.3201
5.3303,0.7921,1.3201
5.3343,0.7921,1.3201
5.3343,0.7921,1.3201
5.3442,0.7921,1.3201
5.3422,0.7921,1.3201
5.3382,0.7921,1.3201
5.3323,0.7921,1.3201
5.3323,0.7921,1.3201
5.3343,0.7921,1.3201
5.3224,0.7921,1.3201
5.3264,0.7921,1.3201
5.3422,0.7921,1.3201
5.3461,0.7921,1.3201
5.3382,0.7921,1.3201
5.3402,0.7921,1.3201
5.3323,0.7921,1.3201
5.3442,0.7921,1.3201
5.3323,0.7921,1.3201
5.3126,0.7921,1.3201
5.3422,0.7921,1.3201
5.3382,0.7921,1.3201
5.3323,0.7921,1.3201
5.3422,0.7921,1.3201
5.3481,0.7921,1.3201
5.3402,0.7921,1.3201
5.3422,0.7921,1.3201
5.3382,0.7921,1.3201
5.3422,0.7921,1.3201
5.3422,0.7921,1.3201
5.3442,0.7921,1.3201
5.3343,0.7921,1.3201
5.3501,0.7921,1.3201
5.3442,0.7921,1.3201
5.3422,0.7921,1.3201
5.3382,0.7921,1.3201
5.3343,0.7921,1.3201
5.3442,0.7921,1.3201
5.3343,0.7921,1.3201
5.3481,0.7921,1.3201
5.3442,0.7921,1.3201
5.3501,0.7921,1.3201
5.3205,0.7921,1.3201
5.3442,0.7921,1.3201
5.3303,0.7921,1.3201
5.3382,0.7921,1.3201
5.3442,0.7921,1.3201
5.3224,0.7921,1.3201
5.3442,0.7921,1.3201
5.3461,0.7921,1.3201
5.354,0.7921,1.3201
5.3442,0.7921,1.3201
5.3343,0.7921,1.3201
5.3323,0.7921,1.3201
5.3442,0.7921,1.3201
5.3323,0.7921,1.3201
5.3126,0.7921,1.3201
4.6495,0.7921,1.3201
4.8666,0.7921,1.3201
4.8054,0.7921,1.3201
4.7146,0.7921,1.3201
4.6475,0.7921,1.3201
4.5587,0.7921,1.3201
4.5094,0.7921,1.3201
4.458,0.7921,1.3201
4.4383,0.7921,1.3201
4.5232,0.7921,1.3201
4.6297,0.7921,1.3201
4.7343,0.7921,1.3201
4.8054,0.7921,1.3201
4.906,0.7921,1.3201
5.0067,0.7921,1.3201
5.0146,0.7921,1.3201
5.1172,0.7921,1.3201
5.208,0.7921,1.3201
5.2534,0.7921,1.3201
5.3264,0.7921,1.3201
5.281,0.7921,1.3201
5.2889,0.7921,1.3201
5.3244,0.7921,1.3201
5.2869,0.7921,1.3201
5.3442,0.7921,1.3201
5.3165,0.7921,1.3201
5.3323,0.7921,1.3201
5.3323,0.7921,1.3201
5.3422,0.7921,1.3201
5.3481,0.7921,1.3201
5.3086,0.7921,1.3201
5.3402,0.264,0.44
5.3402,0.264,0.44
5.285,0.264,0.44
5.3303,0.264,0.44
5.3442,0.264,0.44
5.3382,0.264,0.44
5.3501,0.264,0.44
5.3343,0.264,0.44
5.3481,0.264,0.44
5.3422,0.264,0.44
5.3323,0.264,0.44
5.3442,0.264,0.44
5.3422,0.264,0.44
5.3323,0.264,0.44
5.3481,0.264,0.44
5.3442,0.264,0.44
5.3422,0.264,0.44
5.3461,0.264,0.44
5.358,0.264,0.44
5.3402,0.264,0.44
5.3442,0.264,0.44
5.3382,0.264,0.44
5.3343,0.264,0.44
5.3481,0.264,0.44
5.3442,0.264,0.44
5.3442,0.264,0.44
5.3521,0.264,0.44
5.3442,0.264,0.44
5.3442,0.264,0.44
5.356,0.264,0.44
5.3442,0.264,0.44
5.354,0.264,0.44
5.3501,0.264,0.44
5.3619,0.264,0.44
5.3501,0.264,0.44
5.3442,0.264,0.44
5.3461,0.264,0.44
5.3501,0.264,0.44
5.3402,0.264,0.44
5.3521,0.264,0.44
5.354,0.264,0.44
5.3442,0.264,0.44
5.3402,0.264,0.44
5.3224,0.264,0.44
5.354,0.264,0.44
5.3461,0.264,0.44
5.3442,0.264,0.44
5.3481,0.264,0.44
5.3422,0.264,0.44
5.3442,0.264,0.44
5.3442,0.264,0.44
5.3422,0.264,0.44
5.3461,0.264,0.44
5.3442,0.264,0.44
5.3382,0.264,0.44
5.354,0.264,0.44
5.3402,0.264,0.44
5.3442,0.264,0.44
5.3501,0.264,0.44
5.3442,0.264,0.44
5.3402,0.264,0.44
5.3323,0.264,0.44
5.3442,0.264,0.44
5.3442,0.264,0.44
5.3303,0.264,0.44
5.3442,0.264,0.44
5.3442,0.264,0.44
5.3402,0.264,0.44
5.3442,0.264,0.44
5.3422,0.264,0.44
5.3481,0.264,0.44
5.3442,0.264,0.44
5.3501,0.264,0.44
5.3481,0.264,0.44
5.3224,0.264,0.44
5.3422,0.264,0.44
5.3442,0.264,0.44
5.3442,0.264,0.44
5.3363,0.264,0.44
5.3442,0.264,0.44
5.3442,0.264,0.44
5.3461,0.264,0.44
5.3481,0.264,0.44
5.3442,0.264,0.44
5.3442,0.264,0.44
5.356,0.264,0.44
5.3442,0.264,0.44
5.3481,0.264,0.44
5.3402,0.264,0.44
5.3382,0.264,0.44
5.3521,0.264,0.44
5.3521,0.264,0.44
5.3659,0.264,0.44
5.3402,0.264,0.44
5.3343,0.264,0.44
